state_name_harmonized,year,cause_ncrb,deaths_n,source,note
Andhra Pradesh,2023,drowning,1480,ncrb_adsi_2023,police-reported accidental deaths
Arunachal Pradesh,2023,drowning,25,ncrb_adsi_2023,police-reported accidental deaths
Assam,2023,drowning,688,ncrb_adsi_2023,police-reported accidental deaths
Bihar,2023,drowning,2249,ncrb_adsi_2023,police-reported accidental deaths
Chhattisgarh,2023,drowning,2082,ncrb_adsi_2023,police-reported accidental deaths
Goa,2023,drowning,153,ncrb_adsi_2023,police-reported accidental deaths
Gujarat,2023,drowning,1956,ncrb_adsi_2023,police-reported accidental deaths
Haryana,2023,drowning,815,ncrb_adsi_2023,police-reported accidental deaths
Himachal Pradesh,2023,drowning,215,ncrb_adsi_2023,police-reported accidental deaths
Jharkhand,2023,drowning,788,ncrb_adsi_2023,police-reported accidental deaths
Karnataka,2023,drowning,2598,ncrb_adsi_2023,police-reported accidental deaths
Kerala,2023,drowning,1344,ncrb_adsi_2023,police-reported accidental deaths
Madhya Pradesh,2023,drowning,5149,ncrb_adsi_2023,police-reported accidental deaths
Maharashtra,2023,drowning,4548,ncrb_adsi_2023,police-reported accidental deaths
Manipur,2023,drowning,11,ncrb_adsi_2023,police-reported accidental deaths
Meghalaya,2023,drowning,73,ncrb_adsi_2023,police-reported accidental deaths
Mizoram,2023,drowning,26,ncrb_adsi_2023,police-reported accidental deaths
Nagaland,2023,drowning,6,ncrb_adsi_2023,police-reported accidental deaths
Odisha,2023,drowning,2066,ncrb_adsi_2023,police-reported accidental deaths
Punjab,2023,drowning,520,ncrb_adsi_2023,police-reported accidental deaths
Rajasthan,2023,drowning,2478,ncrb_adsi_2023,police-reported accidental deaths
Sikkim,2023,drowning,21,ncrb_adsi_2023,police-reported accidental deaths
Tamil Nadu,2023,drowning,2094,ncrb_adsi_2023,police-reported accidental deaths
Telangana,2023,drowning,1655,ncrb_adsi_2023,police-reported accidental deaths
Tripura,2023,drowning,57,ncrb_adsi_2023,police-reported accidental deaths
Uttarakhand,2023,drowning,166,ncrb_adsi_2023,police-reported accidental deaths
Uttar Pradesh,2023,drowning,3199,ncrb_adsi_2023,police-reported accidental deaths
West Bengal,2023,drowning,945,ncrb_adsi_2023,police-reported accidental deaths
Andaman & Nicobar Islands,2023,drowning,21,ncrb_adsi_2023,police-reported accidental deaths
Chandigarh,2023,drowning,1,ncrb_adsi_2023,police-reported accidental deaths
Dadra & Nagar Haveli and Daman & Diu,2023,drowning,45,ncrb_adsi_2023,police-reported accidental deaths
Delhi,2023,drowning,175,ncrb_adsi_2023,police-reported accidental deaths
Jammu & Kashmir,2023,drowning,31,ncrb_adsi_2023,police-reported accidental deaths
Ladakh,2023,drowning,9,ncrb_adsi_2023,police-reported accidental deaths
Lakshadweep,2023,drowning,2,ncrb_adsi_2023,police-reported accidental deaths
Puducherry,2023,drowning,47,ncrb_adsi_2023,police-reported accidental deaths
Andhra Pradesh,2023,falls,1829,ncrb_adsi_2023,police-reported accidental deaths
Arunachal Pradesh,2023,falls,18,ncrb_adsi_2023,police-reported accidental deaths
Assam,2023,falls,35,ncrb_adsi_2023,police-reported accidental deaths
Bihar,2023,falls,279,ncrb_adsi_2023,police-reported accidental deaths
Chhattisgarh,2023,falls,791,ncrb_adsi_2023,police-reported accidental deaths
Goa,2023,falls,124,ncrb_adsi_2023,police-reported accidental deaths
Gujarat,2023,falls,2033,ncrb_adsi_2023,police-reported accidental deaths
Haryana,2023,falls,738,ncrb_adsi_2023,police-reported accidental deaths
Himachal Pradesh,2023,falls,877,ncrb_adsi_2023,police-reported accidental deaths
Jharkhand,2023,falls,544,ncrb_adsi_2023,police-reported accidental deaths
Karnataka,2023,falls,964,ncrb_adsi_2023,police-reported accidental deaths
Kerala,2023,falls,1061,ncrb_adsi_2023,police-reported accidental deaths
Madhya Pradesh,2023,falls,1927,ncrb_adsi_2023,police-reported accidental deaths
Maharashtra,2023,falls,4563,ncrb_adsi_2023,police-reported accidental deaths
Manipur,2023,falls,5,ncrb_adsi_2023,police-reported accidental deaths
Meghalaya,2023,falls,51,ncrb_adsi_2023,police-reported accidental deaths
Mizoram,2023,falls,29,ncrb_adsi_2023,police-reported accidental deaths
Nagaland,2023,falls,3,ncrb_adsi_2023,police-reported accidental deaths
Odisha,2023,falls,1335,ncrb_adsi_2023,police-reported accidental deaths
Punjab,2023,falls,400,ncrb_adsi_2023,police-reported accidental deaths
Rajasthan,2023,falls,2448,ncrb_adsi_2023,police-reported accidental deaths
Sikkim,2023,falls,59,ncrb_adsi_2023,police-reported accidental deaths
Tamil Nadu,2023,falls,1972,ncrb_adsi_2023,police-reported accidental deaths
Telangana,2023,falls,1159,ncrb_adsi_2023,police-reported accidental deaths
Tripura,2023,falls,55,ncrb_adsi_2023,police-reported accidental deaths
Uttarakhand,2023,falls,192,ncrb_adsi_2023,police-reported accidental deaths
Uttar Pradesh,2023,falls,896,ncrb_adsi_2023,police-reported accidental deaths
West Bengal,2023,falls,339,ncrb_adsi_2023,police-reported accidental deaths
Andaman & Nicobar Islands,2023,falls,16,ncrb_adsi_2023,police-reported accidental deaths
Chandigarh,2023,falls,34,ncrb_adsi_2023,police-reported accidental deaths
Dadra & Nagar Haveli and Daman & Diu,2023,falls,42,ncrb_adsi_2023,police-reported accidental deaths
Delhi,2023,falls,238,ncrb_adsi_2023,police-reported accidental deaths
Jammu & Kashmir,2023,falls,39,ncrb_adsi_2023,police-reported accidental deaths
Ladakh,2023,falls,5,ncrb_adsi_2023,police-reported accidental deaths
Lakshadweep,2023,falls,0,ncrb_adsi_2023,police-reported accidental deaths
