state_name_harmonized,year,total_accidental_deaths,source
Andhra Pradesh,2022,16693.0,ncrb_adsi_2023
Andhra Pradesh,2023,16885.0,ncrb_adsi_2023
Arunachal Pradesh,2022,409.0,ncrb_adsi_2023
Arunachal Pradesh,2023,321.0,ncrb_adsi_2023
Assam,2022,5057.0,ncrb_adsi_2023
Assam,2023,5311.0,ncrb_adsi_2023
Bihar,2022,16025.0,ncrb_adsi_2023
Bihar,2023,15802.0,ncrb_adsi_2023
Chhattisgarh,2022,16893.0,ncrb_adsi_2023
Chhattisgarh,2023,15781.0,ncrb_adsi_2023
Goa,2022,696.0,ncrb_adsi_2023
Goa,2023,724.0,ncrb_adsi_2023
Gujarat,2022,22410.0,ncrb_adsi_2023
Gujarat,2023,22911.0,ncrb_adsi_2023
Haryana,2022,16041.0,ncrb_adsi_2023
Haryana,2023,16087.0,ncrb_adsi_2023
Himachal Pradesh,2022,2834.0,ncrb_adsi_2023
Himachal Pradesh,2023,2912.0,ncrb_adsi_2023
Jharkhand,2022,7772.0,ncrb_adsi_2023
Jharkhand,2023,7999.0,ncrb_adsi_2023
Karnataka,2022,29090.0,ncrb_adsi_2023
Karnataka,2023,29907.0,ncrb_adsi_2023
Kerala,2022,15119.0,ncrb_adsi_2023
Kerala,2023,14936.0,ncrb_adsi_2023
Madhya Pradesh,2022,43726.0,ncrb_adsi_2023
Madhya Pradesh,2023,42531.0,ncrb_adsi_2023
Maharashtra,2022,66656.0,ncrb_adsi_2023
Maharashtra,2023,69497.0,ncrb_adsi_2023
Manipur,2022,353.0,ncrb_adsi_2023
Manipur,2023,195.0,ncrb_adsi_2023
Meghalaya,2022,590.0,ncrb_adsi_2023
Meghalaya,2023,488.0,ncrb_adsi_2023
Mizoram,2022,319.0,ncrb_adsi_2023
Mizoram,2023,297.0,ncrb_adsi_2023
Nagaland,2022,55.0,ncrb_adsi_2023
Nagaland,2023,72.0,ncrb_adsi_2023
Odisha,2022,21013.0,ncrb_adsi_2023
Odisha,2023,20954.0,ncrb_adsi_2023
Punjab,2022,11126.0,ncrb_adsi_2023
Punjab,2023,10838.0,ncrb_adsi_2023
Rajasthan,2022,26449.0,ncrb_adsi_2023
Rajasthan,2023,30004.0,ncrb_adsi_2023
Sikkim,2022,310.0,ncrb_adsi_2023
Sikkim,2023,306.0,ncrb_adsi_2023
Tamil Nadu,2022,29115.0,ncrb_adsi_2023
Tamil Nadu,2023,32679.0,ncrb_adsi_2023
Telangana,2022,12710.0,ncrb_adsi_2023
Telangana,2023,13237.0,ncrb_adsi_2023
Tripura,2022,635.0,ncrb_adsi_2023
Tripura,2023,651.0,ncrb_adsi_2023
Uttarakhand,2022,2675.0,ncrb_adsi_2023
Uttarakhand,2023,2400.0,ncrb_adsi_2023
Uttar Pradesh,2022,42930.0,ncrb_adsi_2023
Uttar Pradesh,2023,42355.0,ncrb_adsi_2023
West Bengal,2022,15494.0,ncrb_adsi_2023
West Bengal,2023,14646.0,ncrb_adsi_2023
Andaman & Nicobar Islands,2022,207.0,ncrb_adsi_2023
Andaman & Nicobar Islands,2023,183.0,ncrb_adsi_2023
Chandigarh,2022,287.0,ncrb_adsi_2023
Chandigarh,2023,312.0,ncrb_adsi_2023
Dadra & Nagar Haveli and Daman & Diu,2022,,ncrb_adsi_2023
Dadra & Nagar Haveli and Daman & Diu,2023,242.0,ncrb_adsi_2023
Delhi,2022,,ncrb_adsi_2023
Delhi,2023,3508.0,ncrb_adsi_2023
Jammu & Kashmir,2022,,ncrb_adsi_2023
Jammu & Kashmir,2023,1450.0,ncrb_adsi_2023
Ladakh,2022,,ncrb_adsi_2023
Ladakh,2023,133.0,ncrb_adsi_2023
Lakshadweep,2022,,ncrb_adsi_2023
Lakshadweep,2023,3.0,ncrb_adsi_2023
Puducherry,2022,,ncrb_adsi_2023
Puducherry,2023,1103.0,ncrb_adsi_2023
