dataset,raw_name,harmonized_name,action,timestamp
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.969981
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.970005
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.970010
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.970014
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.970018
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.970022
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.970951
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.970964
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.970978
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.971032
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.971051
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.971065
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.971079
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.971093
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.971108
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.971122
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.971135
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.971149
