city_name,pop_lakh
AGRA,17.5
AHMEDABAD,63.5
AMRITSAR,11.8
ASANSOL,12.4
AURANGABAD,11.9
BENGALURU,85.0
BHOPAL,18.8
CHANDIGARH (CITY),10.3
CHENNAI,87.0
COIMBATORE,21.5
DELHI (CITY),163.1
DHANBAD,11.9
DURG BHILAINAGAR,10.6
FARIDABAD,14.1
GHAZIABAD,23.6
GWALIOR,11.0
HYDERABAD,77.5
INDORE,21.7
JABALPUR,12.7
JAIPUR,30.7
JAMSHEDPUR,13.4
JODHPUR,11.4
KANNUR,16.4
KANPUR,29.2
KOCHI,21.2
KOLKATA,141.1
KOLLAM,11.1
KOTA,10.0
KOZHIKODE,20.3
LUCKNOW,29.0
LUDHIANA,16.1
MADURAI,14.6
MALAPPURAM,17.0
MEERUT,14.3
MUMBAI,184.1
NAGPUR,25.0
NASIK,15.6
PATNA,20.5
PRAYAGRAJ,12.2
PUNE,50.5
RAIPUR,11.2
RAJKOT,13.9
RANCHI,11.3
SRINAGAR,12.7
SURAT,45.8
THIRUVANANTHAPURAM,16.9
THRISSUR,18.5
TIRUCHIRAPPALLI,10.2
VADODARA,18.2
VARANASI,14.4
VASAI VIRAR,12.2
VIJAYAWADA,14.9
VISHAKHAPATNAM,17.3
