city_name,year,cause,deaths_n,source
AGRA,2023,all_injury,835,ncrb_adsi_2023
AGRA,2023,road,491,ncrb_adsi_2023
AGRA,2023,suicide,147,ncrb_adsi_2023
AHMEDABAD,2023,all_injury,3076,ncrb_adsi_2023
AHMEDABAD,2023,road,535,ncrb_adsi_2023
AHMEDABAD,2023,suicide,984,ncrb_adsi_2023
AMRITSAR,2023,all_injury,576,ncrb_adsi_2023
AMRITSAR,2023,road,110,ncrb_adsi_2023
AMRITSAR,2023,suicide,56,ncrb_adsi_2023
ASANSOL,2023,all_injury,1397,ncrb_adsi_2023
ASANSOL,2023,road,339,ncrb_adsi_2023
ASANSOL,2023,suicide,408,ncrb_adsi_2023
AURANGABAD,2023,all_injury,1279,ncrb_adsi_2023
AURANGABAD,2023,road,221,ncrb_adsi_2023
AURANGABAD,2023,suicide,354,ncrb_adsi_2023
BENGALURU,2023,all_injury,6784,ncrb_adsi_2023
BENGALURU,2023,road,915,ncrb_adsi_2023
BENGALURU,2023,suicide,2370,ncrb_adsi_2023
BHOPAL,2023,all_injury,1597,ncrb_adsi_2023
BHOPAL,2023,road,196,ncrb_adsi_2023
BHOPAL,2023,suicide,583,ncrb_adsi_2023
CHANDIGARH (CITY),2023,all_injury,462,ncrb_adsi_2023
CHANDIGARH (CITY),2023,road,67,ncrb_adsi_2023
CHANDIGARH (CITY),2023,suicide,150,ncrb_adsi_2023
CHENNAI,2023,all_injury,2639,ncrb_adsi_2023
CHENNAI,2023,road,503,ncrb_adsi_2023
CHENNAI,2023,suicide,1529,ncrb_adsi_2023
COIMBATORE,2023,all_injury,1818,ncrb_adsi_2023
COIMBATORE,2023,road,305,ncrb_adsi_2023
COIMBATORE,2023,suicide,411,ncrb_adsi_2023
DELHI (CITY),2023,all_injury,6639,ncrb_adsi_2023
DELHI (CITY),2023,road,1457,ncrb_adsi_2023
DELHI (CITY),2023,suicide,3131,ncrb_adsi_2023
DHANBAD,2023,all_injury,257,ncrb_adsi_2023
DHANBAD,2023,road,126,ncrb_adsi_2023
DHANBAD,2023,suicide,49,ncrb_adsi_2023
DURG BHILAINAGAR,2023,all_injury,1020,ncrb_adsi_2023
DURG BHILAINAGAR,2023,road,137,ncrb_adsi_2023
DURG BHILAINAGAR,2023,suicide,342,ncrb_adsi_2023
FARIDABAD,2023,all_injury,1970,ncrb_adsi_2023
FARIDABAD,2023,road,307,ncrb_adsi_2023
FARIDABAD,2023,suicide,368,ncrb_adsi_2023
GHAZIABAD,2023,all_injury,784,ncrb_adsi_2023
GHAZIABAD,2023,road,368,ncrb_adsi_2023
GHAZIABAD,2023,suicide,142,ncrb_adsi_2023
GWALIOR,2023,all_injury,638,ncrb_adsi_2023
GWALIOR,2023,road,170,ncrb_adsi_2023
GWALIOR,2023,suicide,291,ncrb_adsi_2023
HYDERABAD,2023,all_injury,1150,ncrb_adsi_2023
HYDERABAD,2023,road,335,ncrb_adsi_2023
HYDERABAD,2023,suicide,659,ncrb_adsi_2023
INDORE,2023,all_injury,2243,ncrb_adsi_2023
INDORE,2023,road,295,ncrb_adsi_2023
INDORE,2023,suicide,717,ncrb_adsi_2023
JABALPUR,2023,all_injury,979,ncrb_adsi_2023
JABALPUR,2023,road,268,ncrb_adsi_2023
JABALPUR,2023,suicide,187,ncrb_adsi_2023
JAIPUR,2023,all_injury,3208,ncrb_adsi_2023
JAIPUR,2023,road,848,ncrb_adsi_2023
JAIPUR,2023,suicide,567,ncrb_adsi_2023
JAMSHEDPUR,2023,all_injury,515,ncrb_adsi_2023
JAMSHEDPUR,2023,road,72,ncrb_adsi_2023
JAMSHEDPUR,2023,suicide,132,ncrb_adsi_2023
JODHPUR,2023,all_injury,1142,ncrb_adsi_2023
JODHPUR,2023,road,257,ncrb_adsi_2023
JODHPUR,2023,suicide,209,ncrb_adsi_2023
KANNUR,2023,all_injury,930,ncrb_adsi_2023
KANNUR,2023,road,117,ncrb_adsi_2023
KANNUR,2023,suicide,416,ncrb_adsi_2023
KANPUR,2023,all_injury,2966,ncrb_adsi_2023
