city_name,all_injury,road,suicide
AGRA,835.0,491.0,147.0
AHMEDABAD,3076.0,535.0,984.0
AMRITSAR,576.0,110.0,56.0
ASANSOL,1397.0,339.0,408.0
AURANGABAD,1279.0,221.0,354.0
BENGALURU,6784.0,915.0,2370.0
BHOPAL,1597.0,196.0,583.0
CHANDIGARH (CITY),462.0,67.0,150.0
CHENNAI,2639.0,503.0,1529.0
COIMBATORE,1818.0,305.0,411.0
DELHI (CITY),6639.0,1457.0,3131.0
DHANBAD,257.0,126.0,49.0
DURG BHILAINAGAR,1020.0,137.0,342.0
FARIDABAD,1970.0,307.0,368.0
GHAZIABAD,784.0,368.0,142.0
GWALIOR,638.0,170.0,291.0
HYDERABAD,1150.0,335.0,659.0
INDORE,2243.0,295.0,717.0
JABALPUR,979.0,268.0,187.0
JAIPUR,3208.0,848.0,567.0
JAMSHEDPUR,515.0,72.0,132.0
JODHPUR,1142.0,257.0,209.0
KANNUR,930.0,117.0,416.0
KANPUR,2966.0,638.0,724.0
KOCHI,1056.0,177.0,337.0
KOLKATA,523.0,204.0,283.0
KOLLAM,1315.0,211.0,539.0
KOTA,663.0,114.0,170.0
KOZHIKODE,1009.0,172.0,351.0
LUCKNOW,936.0,499.0,218.0
LUDHIANA,1656.0,402.0,339.0
MADURAI,1124.0,264.0,404.0
MALAPPURAM,483.0,107.0,142.0
MEERUT,249.0,174.0,29.0
MUMBAI,10389.0,414.0,1415.0
NAGPUR,2880.0,308.0,663.0
NASIK,1298.0,261.0,160.0
PATNA,467.0,200.0,44.0
PRAYAGRAJ,1007.0,582.0,140.0
PUNE,6007.0,393.0,953.0
RAIPUR,1438.0,158.0,364.0
RAJKOT,1342.0,178.0,537.0
RANCHI,736.0,117.0,199.0
SRINAGAR,160.0,55.0,9.0
SURAT,3245.0,309.0,1002.0
THIRUVANANTHAPURAM,947.0,137.0,410.0
THRISSUR,1407.0,231.0,501.0
TIRUCHIRAPPALLI,492.0,165.0,182.0
VADODARA,1221.0,199.0,237.0
VARANASI,581.0,223.0,197.0
VASAI VIRAR,1724.0,154.0,318.0
VIJAYAWADA,1326.0,373.0,577.0
VISHAKHAPATNAM,1407.0,322.0,449.0
