state_name_harmonized,daly_rate,death_rate,Incidence,Prevalence,yld_rate,yll_rate,z_yld_rate,z_death_rate,hdbi_z,rank_yld,rank_death,hdbi_rank,hdbi_direction,cause_group,year
Tamil Nadu,4485.920654837346,84.04953756133526,10346.8270488509,23747.96232091704,1042.15232575286,3443.7683290844825,2.642966623005009,0.7862704468686247,1.856696176136384,1.0,8.0,-7.0,disability_prominent,all_injuries,2021
Himachal Pradesh,3161.622755074165,57.76449121474253,8542.10198107066,20500.445338456928,870.47348125282,2291.149273821337,1.2265973633216796,-0.5453991901884928,1.7719965535101725,4.0,20.0,-16.0,disability_prominent,all_injuries,2021
Maharashtra,3180.030289037334,56.69942019416596,9149.85115493812,20675.412733129007,858.33177797796,2321.698511059375,1.1264269822313986,-0.5993584916372843,1.7257854738686829,5.0,22.0,-17.0,disability_prominent,all_injuries,2021
Kerala,2677.697653816554,53.43765996872539,7539.32263363708,20382.25704567096,835.72639850942,1841.9712553071315,0.9399301271531995,-0.7646078504668468,1.7045379776200462,6.0,23.0,-17.0,disability_prominent,all_injuries,2021
Jammu & Kashmir and Ladakh,2691.5234187662595,43.66607015819618,8266.53235768337,18591.41145602238,756.3345553210299,1935.1888634452228,0.2849387303442065,-1.2596623116565357,1.5446010420007423,11.0,28.0,-17.0,disability_prominent,all_injuries,2021
Sikkim,2654.967050741732,40.71276969928324,8124.946319227281,18612.91901940772,726.69794705958,1928.2691036821425,0.04043346806196326,-1.4092842867667683,1.4497177548287317,14.0,30.0,-16.0,disability_prominent,all_injuries,2021
West Bengal,3412.603488462328,58.94550105441817,8746.17695517344,20309.56296422123,835.36096931151,2577.242519150816,0.9369152962693018,-0.4855661229827498,1.4224814192520516,7.0,19.0,-12.0,disability_prominent,all_injuries,2021
Goa,4633.729257896692,88.73532147654792,8662.917641199321,22901.792361706743,952.62111998061,3681.108137916072,1.9043243749895997,1.0236645942260327,0.880659780763567,2.0,5.0,-3.0,disability_prominent,all_injuries,2021
Karnataka,4630.46433929898,82.77000341202564,9455.50805590681,21091.4634494793,895.4191723423601,3735.045166956621,1.432402045451706,0.721445878794991,0.7109561666567149,3.0,9.0,-6.0,disability_prominent,all_injuries,2021
Rajasthan,3352.878351692684,53.24928511805753,8815.59748297524,16768.05634425024,679.43930440622,2673.4390472864634,-0.3494555069221553,-0.774151416253714,0.42469590933155865,20.0,24.0,-4.0,balanced,all_injuries,2021
Mizoram,2359.951181872812,38.14869839476744,7203.81390129105,15811.29815987548,580.8160015226,1779.1351803502075,-1.1631085513586532,-1.5391868883619806,0.3760783370033274,30.0,31.0,-1.0,balanced,all_injuries,2021
Delhi,2295.5637012376387,41.75100522171225,6637.91220120044,15459.31724955705,581.88805180242,1713.6756494352087,-1.1542640191998197,-1.3566845422922047,0.202420523092385,29.0,29.0,0.0,balanced,all_injuries,2021
Punjab,3632.398180275023,67.67087230539681,7624.63202358029,18242.27081756998,738.91027470331,2893.487905571708,0.14118650792620932,-0.0435158479416515,0.18470235586786082,13.0,14.0,-1.0,balanced,all_injuries,2021
Other Union Territories,4015.3177631737153,75.14323946362745,7982.379343680771,19160.65380221118,783.08287401636,3232.234889157342,0.5056152875438308,0.3350539415252942,0.17056134601853656,9.0,11.0,-2.0,balanced,all_injuries,2021
Assam,3674.984755926819,63.63103861998484,8117.71363677348,16911.67386058981,701.65351893473,2973.331236992089,-0.166185805417466,-0.24818445634686506,0.08199865092939906,17.0,18.0,-1.0,balanced,all_injuries,2021
Uttar Pradesh,3916.758846473857,67.12092922177456,8928.54442461052,16442.33172275362,700.65977511018,3216.0990713636697,-0.17438430074862687,-0.07137741215244657,-0.1030068885961803,18.0,15.0,3.0,balanced,all_injuries,2021
Nagaland,3220.9378118177465,53.00566989892607,8381.451114614349,15842.64181859054,607.28051257755,2613.657299240189,-0.9447734382587274,-0.7864936045140908,-0.1582798337446366,24.0,25.0,-1.0,balanced,all_injuries,2021
Haryana,4641.041562921079,86.83091335866044,9016.17608615282,19261.81847616482,808.34777661066,3832.6937863104176,0.7140534995301177,0.9271822660720024,-0.21312876654188473,8.0,7.0,1.0,balanced,all_injuries,2021
