state_name_harmonized,daly_rate,death_rate,Incidence,Prevalence,yld_rate,yll_rate,z_yld_rate,z_death_rate,hdbi_z,rank_yld,rank_death,hdbi_rank,hdbi_direction,cause_group,year
Tamil Nadu,1151.2914350128287,18.18568867426368,6017.29001736175,14843.836351532447,687.0974848816101,464.1939501312178,2.411616931760676,0.4966242920609981,1.914992639699678,1.0,9.0,-8.0,disability_prominent,falls,2021
West Bengal,838.0401893052208,11.726490215787608,4913.23939732592,11583.79654669785,530.7137481296701,307.326441175548,0.9920718054850737,-0.5851231022952402,1.577194907780314,7.0,21.0,-14.0,disability_prominent,falls,2021
Maharashtra,879.94324071533,13.13644492794959,5209.380902422809,12023.452620068629,556.05539838191,323.8878423334186,1.2221060587553503,-0.3489924359522572,1.5710984947076074,5.0,18.0,-13.0,disability_prominent,falls,2021
Sikkim,793.1377802255184,11.035716554110245,4598.11021683155,10214.25236669198,456.4047530556,336.7330271699158,0.31754532346887143,-0.7008096868479781,1.0183550103168495,11.0,24.0,-13.0,disability_prominent,falls,2021
Rajasthan,660.1934862827843,8.361136727448631,4310.0486633194605,8530.983726605169,395.39340706326,264.80007921951983,-0.23627415066430682,-1.1487320996811583,0.9124579490168515,17.0,28.0,-11.0,disability_prominent,falls,2021
Kerala,866.4693792037165,16.375396653036418,4303.73292819775,11651.99360638096,540.78322333012,325.68615587358687,1.0834756479934884,0.19344756052448198,0.8900280874690064,6.0,13.0,-7.0,disability_prominent,falls,2021
Karnataka,1109.050531706274,19.041224397265434,5481.782576326779,12563.70575954677,581.32579109779,527.7247406084757,1.4514934846089722,0.6399042276575545,0.8115892569514177,3.0,7.0,-4.0,disability_prominent,falls,2021
Mizoram,496.0157844850684,6.426531129441115,3451.3285667116497,7306.71276040062,322.76252445161003,173.25326003345765,-0.8955678698827413,-1.472728115317651,0.5771602454349097,26.0,31.0,-5.0,disability_prominent,falls,2021
Himachal Pradesh,1033.579239125208,19.69610280789676,4698.92485592735,11757.50584695654,559.66977169213,473.9094674330728,1.254914879695612,0.7495792932055063,0.5053355864901057,4.0,5.0,-1.0,disability_prominent,falls,2021
Assam,733.2558784585625,11.254477719466514,4237.05477080736,8534.168468987511,402.11225872536,331.1436197332001,-0.1752849881772141,-0.6641728932687464,0.4888879050915323,15.0,23.0,-8.0,balanced,falls,2021
Uttar Pradesh,757.2720580174009,11.937881459922275,4442.49018075592,8420.24339944912,403.76040328615,353.511654731246,-0.16032425359406338,-0.549720578436831,0.3893963248427676,14.0,20.0,-6.0,balanced,falls,2021
Jammu & Kashmir and Ladakh,594.020388084304,9.298903305242002,3527.62378704376,7407.90877365495,340.97025929763004,253.05012878666764,-0.7302904452731422,-0.9916806391069494,0.2613901938338071,21.0,26.0,-5.0,balanced,falls,2021
Arunachal Pradesh,631.8867972808328,8.314038982054601,3915.46383081568,7106.630751897989,322.25644962116,309.6303476596707,-0.9001616727551949,-1.1566197445162831,0.25645807176108826,27.0,29.0,-2.0,balanced,falls,2021
Goa,1368.6205545097605,27.002766407911142,5505.93666651296,14461.382485419392,666.63491826879,701.985636240962,2.2258716790276853,1.9732550111084244,0.25261666791926096,2.0,2.0,0.0,balanced,falls,2021
Haryana,977.6708896818816,18.166848531036976,5026.56684549228,10779.20301249124,500.50764144096,477.16324824091294,0.7178813274705027,0.4934690591051131,0.22441226836538963,8.0,10.0,-2.0,balanced,falls,2021
Tripura,559.7939735865068,8.973131612498944,2849.30500734845,6636.215446848601,306.01338321585,253.7805903706493,-1.0476051744282853,-1.0462389069857423,-0.0013662674425429788,28.0,27.0,1.0,balanced,falls,2021
Nagaland,713.7779245453053,11.96527457948654,3946.08474039884,7599.3701942879,343.85455169201,369.92337285329126,-0.7041088019882624,-0.5451329448624133,-0.15897585712584916,20.0,19.0,1.0,balanced,falls,2021
Madhya Pradesh,692.0943085739572,11.565734932976776,3337.9725981620404,6851.64542485662,325.85242241811,366.2418861558371,-0.8675198791508694,-0.6120454223675431,-0.25547445678332625,25.0,22.0,3.0,balanced,falls,2021
Meghalaya,646.777546229924,9.90510226012639,3572.7278824199,6325.796353152819,291.59016145036003,355.18738477956015,-1.1785293650611677,-0.8901581136537875,-0.2883712514073802,30.0,25.0,5.0,balanced,falls,2021
Punjab,843.9015276010077,16.58032839164841,3686.5654985882297,8878.39195685907,413.87234158939,430.02918601161264,-0.06853495993923048,0.22776828556328496,-0.2963032455025154,13.0,12.0,1.0,balanced,falls,2021
Manipur,488.9614472360981,8.177553541121663,2568.29387162965,5620.63412733552,258.71577075467,230.24567648142613,-1.4769407092367497,-1.1794774986239966,-0.29746321061275305,31.0,30.0,1.0,balanced,falls,2021
Delhi,685.5817346140715,13.356837978982188,3406.20821959502,7390.64587230262,338.10660407166,347.4751305424024,-0.7562847583890103,-0.31208234405441776,-0.44420241433459257,23.0,17.0,6.0,balanced,falls,2021
Jharkhand,721.6528133165644,13.520529214104783,3568.2226777346305,6986.721220891411,329.14480893334,392.5080043832218,-0.8376338351888695,-0.28466832849023294,-0.5529655066986365,24.0,16.0,8.0,mortality_prominent,falls,2021
Bihar,778.2674162217527,14.36517545192796,3913.45733848159,7171.105521230681,340.62569855967,437.6417176620732,-0.7334181331416891,-0.14321209784616154,-0.5902060352955276,22.0,15.0,7.0,mortality_prominent,falls,2021
Odisha,779.7657487034619,15.704041008039274,3179.80239418512,7297.37164936594,354.5235594917,425.24218921175606,-0.6072628105903848,0.08101298766985657,-0.6882757982602413,19.0,14.0,5.0,mortality_prominent,falls,2021
Other Union Territories,1163.4212358822874,24.3966135657119,4575.94647104082,10592.64860553054,495.18025783823,668.2409780440519,0.6695229649826453,1.5367923347459034,-0.8672693697632581,9.0,4.0,5.0,mortality_prominent,falls,2021
Gujarat,902.0637959127224,19.031919907654963,3812.15481321458,8325.27253828358,394.7759904252901,507.2878054874255,-0.24187863868534612,0.6383459681526567,-0.8802246068380027,18.0,8.0,10.0,mortality_prominent,falls,2021
Uttarakhand,941.4424549032012,19.34436304092785,4035.03419826702,8337.061547524301,398.83432951028,542.6081253929126,-0.2050397986082004,0.6906720497052251,-0.8957118483134255,16.0,6.0,10.0,mortality_prominent,falls,2021
Andhra Pradesh,1123.1133068568238,25.086276664979547,4258.46942888922,9937.70920161204,462.9048029308101,660.2085039260032,0.3765483522527348,1.6522929290398338,-1.275744576787099,10.0,3.0,7.0,mortality_prominent,falls,2021
Chhattisgarh,819.6465043394205,18.13163717753034,3093.07114589837,6225.32925068693,301.0658572217,518.5806471177193,-1.0925154480794252,0.48757207511361234,-1.5800875231930376,29.0,11.0,18.0,mortality_prominent,falls,2021
Telangana,1269.8239646991806,31.7653216020439,4268.65095298953,9386.35970317726,442.58810953844,827.2358551607313,0.19212723733256754,2.770858878654921,-2.5787316413223533,12.0,1.0,11.0,mortality_prominent,falls,2021
